,Defaulted,Chargedoff,Completed,Current,Cancelled,FinalPaymentInProgress,Past_Due,Total,default_rate,chargedoff_rate,credit_impairment,past_due_rate
2006,1435,1016,3736,0,4,0,0,6191,0.23178807947019867,0.1641091907607818,0.3958972702309805,0.0
2007,1559,2953,7004,0,0,0,0,11516,0.13537686696769713,0.2564258423063564,0.3918027092740535,0.0
2008,1009,2674,7476,0,1,0,0,11160,0.09041218637992832,0.2396057347670251,0.3300179211469534,0.0
2009,81,254,1851,0,0,0,0,2186,0.03705397987191217,0.1161939615736505,0.15324794144556267,0.0
2010,186,737,4557,30,0,0,11,5521,0.033689548994747326,0.13349030972649883,0.16717985872124616,0.001992392682485057
2011,355,1825,5512,3393,0,39,301,11425,0.031072210065645513,0.15973741794310722,0.19080962800875273,0.026345733041575493
2012,345,2238,5439,10550,0,55,884,19511,0.017682333042898877,0.1147045256521962,0.13238685869509506,0.04530777510122495
2013,37,280,2214,31177,0,92,844,34644,0.0010680060039256437,0.008082207597275142,0.009150213601200784,0.024362082900357927
2014,0,0,61,10396,0,17,11,10485,0.0,0.0,0.0,0.0010491177873152122
